sample_id,decision,time_h,slope,r.squared,w_size
191030_PC_1_6,277,469.50055556,0.04380884,0.93430406,13
191030_PC_1_6,278,470.66722222,0.0418672,0.932702,14
191030_PC_1_6,279,471.58388889,0.03994618,0.88946285,11
191030_PC_1_6,280,472.83416667,0.23312474,0.25330658,15
191104_PC_1_2,218,455.83333333,0.02854262,0.91149264,10
191104_PC_1_2,219,457.50027778,0.02917623,0.98862477,20
191104_PC_1_2,220,458.83361111,0.0324393,0.95446346,16
191104_PC_1_2,221,460.41694444,0.03312616,0.97591978,19
191104_PC_1_2,222,461.58361111,0.03996682,0.9243829,14
191104_PC_1_2,223,462.75027778,0.04014007,0.96503584,14
191104_PC_1_2,224,463.91694444,0.04332384,0.97830386,14
191104_PC_1_2,225,464.91666667,0.04657984,0.93855995,12
191104_PC_1_2,226,466.08333333,0.04409104,0.97066296,14
191104_PC_1_2,227,467,0.04951066,0.96919651,11
191104_PC_1_2,228,468.08361111,0.04657597,0.97085896,13
191104_PC_1_2,229,469.16666667,0.04754222,0.98960775,13
191104_PC_1_2,230,470.25027778,0.04540502,0.97791505,13
191104_PC_1_2,231,471.33361111,0.0431682,0.97393545,13
191104_PC_1_2,232,472.25027778,0.0474853,0.9871834,11
191104_PC_1_2,233,473.16694444,0.0532057,0.97879497,11
191104_PC_1_2,239,474.16666667,0.04386405,0.88108576,7
191104_PC_1_2,240,475.08333333,0.04872371,0.96922339,11
191104_PC_1_2,241,476.08361111,0.04786256,0.98984813,12
191104_PC_1_2,242,477.08361111,0.04660405,0.97514902,12
191104_PC_1_2,243,478.08333333,0.05828809,0.94503577,12
191104_PC_1_2,244,478.83361111,0.04618955,0.96148958,9
191104_PC_1_2,245,479.75027778,0.05100652,0.97716223,11
191104_PC_1_2,246,480.66694444,0.04916442,0.97938098,11
191104_PC_1_2,247,481.66694444,0.04795627,0.98544333,12
191104_PC_1_2,248,482.58361111,0.04593153,0.98012994,11
191104_PC_1_2,249,483.50027778,0.04962766,0.97155654,11
191104_PC_1_2,250,484.50027778,0.04524519,0.97048147,12
191104_PC_1_2,251,485.41694444,0.04786894,0.96236321,11
191104_PC_1_2,252,486.50027778,0.04664619,0.98656093,13
191104_PC_1_2,253,487.5,0.04775523,0.97775163,12
191104_PC_1_2,254,488.41666667,0.04848871,0.98621571,11
191104_PC_1_2,255,489.41694444,0.04617983,0.98078217,12
191104_PC_1_2,256,490.41694444,0.04479649,0.96513424,12
191104_PC_1_2,257,491.25,0.05141992,0.96593856,10
191104_PC_1_2,258,492.41694444,0.04834487,0.9871628,14
191104_PC_1_2,259,493.41694444,0.04464797,0.96462047,12
191104_PC_1_2,260,494.5,0.04560671,0.98937874,13
191104_PC_1_2,261,495.41666667,0.04113541,0.98600525000000006,11
191104_PC_1_2,262,496.33333333,0.05364517,0.97871058,11
191104_PC_1_2,263,497.16666667,0.05093686,0.96796801,10
191104_PC_1_2,264,498.08333333,0.05229223,0.9766552,11
191104_PC_1_2,265,499.00027778,0.05004656,0.97859105,11
191104_PC_1_2,266,499.83361111,0.05031869,0.98806328,10
191104_PC_1_2,267,500.66666667,0.05171666,0.95685922,10
191104_PC_1_2,268,501.66694444,0.05607593,0.97198236,12
191104_PC_1_2,269,502.58333333,0.05618145,0.96451092,11
191104_PC_1_2,270,503.50027778,0.05147856,0.9909058,11
191104_PC_1_2,271,504.41694444,0.0490535,0.97800621,11
191104_PC_1_2,272,505.25027778,0.0522506,0.94765982,10
191104_PC_1_2,273,506.00027778,0.06042326,0.96508373,9
191104_PC_1_2,274,507.08333333,0.04922085,0.96020573,13
191104_PC_1_2,275,508,0.04655899,0.94855676,11
191104_PC_1_2,276,509.08333333,0.04914302,0.96572669,13
191104_PC_1_2,277,509.91694444,0.04991014,0.96936104,10
191104_PC_1_2,278,510.91666667,0.05200484,0.98578817,12
191104_PC_1_2,279,511.75027778,0.05018395,0.98301655,10
191104_PC_1_2,280,512.66666667,0.05347918,0.98448995,15
191104_PC_1_2,280,512.66666667,0.05347918,0.98448995,15
191104_PC_1_2,281,513.66666667,0.05486445,0.9824601,12
191104_PC_1_2,281,513.66666667,0.05486445,0.9824601,12
191104_PC_1_2,282,514.66666667,0.04540079,0.97373395,20
191104_PC_1_2,282,514.66666667,0.04540079,0.97373395,20
191104_PC_1_2,283,515.5,0.05003038,0.98022607,12
191104_PC_1_2,284,516.66666667,0.04633541,0.97952473,18
191104_PC_1_2,284,516.66666667,0.04633541,0.97952473,18
191104_PC_1_2,287,519.25027778,0.05710994,0.95976104,16
191104_PC_1_2,288,520.08333333,0.05241329,0.96645914,14
191104_PC_1_2,289,521.16666667,0.04911552,0.97737355,17
191104_PC_1_2,289,521.16666667,0.04911552,0.97737355,17
191104_PC_1_2,290,522.00027778,0.05039067,0.95548325,14
191104_PC_1_2,291,522.91694444,0.05010834,0.93494566,15
191104_PC_1_2,292,523.91666667,0.04759686,0.94023333,14
191104_PC_1_2,292,523.91666667,0.04759686,0.94023333,14
191104_PC_1_2,294,525.66694444,0.05303549,0.96404811,11
191104_PC_1_2,295,526.50027778,0.0516274,0.98605716,14
191104_PC_1_2,296,527.41694444,0.05413493,0.96293609,15
191104_PC_1_2,297,528.41694444,0.05412649,0.97444428,16
191104_PC_1_2,299,530.16694444,0.05170184,0.94648517,18
191104_PC_1_2,300,531.16666667,0.05550145,0.94555037,16
191104_PC_1_2,300,531.16666667,0.05550145,0.94555037,16
191104_PC_1_2,302,532.91666667,0.05062549,0.97169603,14
191104_PC_1_2,302,532.91666667,0.05062549,0.97169603,14
191104_PC_1_2,303,533.83361111,0.05179411,0.97124864,15
191104_PC_1_2,306,536.66666667,0.04943549,0.97804796,17
191104_PC_1_2,306,536.66666667,0.04943549,0.97804796,17
191104_PC_1_2,307,537.50027778,0.05004889,0.95495975,12
191104_PC_1_2,308,538.41694444,0.04952027,0.9523149,15
191104_PC_1_2,309,539.25,0.0544947,0.98342415,12
191104_PC_1_2,310,540.41666667,0.04735112,0.97224811,18
191104_PC_1_2,310,540.41666667,0.04735112,0.97224811,18
191104_PC_1_2,311,541.33361111,0.05109061,0.99409283,17
191104_PC_1_2,312,542.33361111,0.04913968,0.94815471,16
191104_PC_1_2,313,543.16694444,0.05019106,0.97404633,12
191104_PC_1_2,314,544.08361111,0.04963922,0.982809,13
191104_PC_1_2,315,545.00027778,0.05265929,0.98268578,11
191104_PC_1_2,316,546,0.04830975,0.94931397,16
191104_PC_1_2,317,546.83361111,0.05106088,0.96574718,10
191104_PC_1_2,318,547.91666667,0.04495306,0.98673694,15
191104_PC_1_2,318,547.91666667,0.04495306,0.98673694,15
191104_PC_1_2,319,548.83361111,0.05397091,0.97197126,15
191104_PC_1_2,320,549.91694444,0.04961828,0.95333743,17
191104_PC_1_2,321,550.83333333,0.0430859,0.98307885,13
191104_PC_1_2,322,551.66694444,0.04823567,0.94211077,12
191104_PC_1_2,325,554.58361111,0.04853584,0.98427274,13
191104_PC_1_2,326,555.5,0.04591884,0.96023422,15
191104_PC_1_2,328,557.41666667,0.05161915,0.97919832,22
191104_PC_1_2,328,557.41666667,0.05161915,0.97919832,22
191104_PC_1_2,329,558.41666667,0.04019696,0.97097599,16
191104_PC_1_2,329,558.41666667,0.04019696,0.97097599,16
191104_PC_1_2,330,559.25027778,0.04433584,0.9584948,14
191104_PC_1_2,331,560.16694444,0.04981881,0.95257341,11
191104_PC_1_2,332,561.25,0.04686021,0.9702859,21
191104_PC_1_2,333,562.08361111,0.0463484,0.9068453,16
191104_PC_1_2,334,563.16666667,0.04882598,0.97020744,19
