"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"109.00142 Da 1185.78 s",19.76,110.00870,,,1858.0,2458.0,1964.0,2074.0,2306.0,2370.0
"137.96463 Da 1185.49 s",19.76,138.97191,,,1250.0,762.0,786.0,0.0,0.0,0.0
"65.01140 Da 1185.66 s",19.76,66.01867,,,0.0,2994.0,0.0,3470.0,0.0,0.0
"49.98091 Da 1186.67 s",19.78,50.98819,,,0.0,0.0,0.0,0.0,1896.0,0.0
"82.92897 Da 1186.55 s",19.78,83.93624,,,1288.0,1382.0,1504.0,824.0,956.0,1094.0
"66.01461 Da 1185.97 s",19.77,67.02189,,,4292.0,6220.0,5908.0,7020.0,5572.0,0.0
"157.95715 Da 1184.41 s",19.74,158.96443,,,1702.0,2254.0,2498.0,1808.0,0.0,1898.0
"138.98029 Da 1186.30 s",19.77,139.98757,,,1902.0,2476.0,2170.0,2620.0,2726.0,2124.0
"81.00648 Da 1186.20 s",19.77,82.01376,,,1832.0,1926.0,2048.0,1672.0,1744.0,2144.0
"142.95167 Da 1186.29 s",19.77,143.95895,,,18162.0,16756.0,15966.0,17298.0,17822.0,18200.0
"225.94389 Da 1184.61 s",19.74,226.95116,,"C6H2N4S3",5670.0,7424.0,7310.0,5052.0,5572.0,7116.0
"97.95377 Da 1186.40 s",19.77,98.96105,,,9746.0,5844.0,8072.0,8542.0,7394.0,9026.0
"215.91062 Da 1184.36 s",19.74,216.91790,,,0.0,1086.0,812.0,1354.0,1580.0,196.0
"315.91289 Da 1184.36 s",19.74,158.96372,,,0.0,0.0,0.0,0.0,2466.0,0.0
